date,confrontation_index,positive_count,negative_count,positive_influence,negative_influence
2020-01-01,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-01-03,3.754364448671581e-05,0.0,3.0,0.0,3.0
2020-01-05,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-01-07,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-01-10,5.005819264895441e-05,0.0,4.0,0.0,4.0
2020-01-11,0.00020023277059581763,0.0,16.0,0.0,16.0
2020-01-12,0.00015017457794686323,0.0,12.0,0.0,12.0
2020-01-13,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-01-14,6.257274081119301e-05,0.0,5.0,0.0,5.0
2020-01-15,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-01-16,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-01-19,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-01-20,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-01-22,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-01-24,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-01-27,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-01,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-10,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-13,5.005819264895441e-05,0.0,4.0,0.0,4.0
2020-02-14,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-02-16,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-19,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-24,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-25,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-27,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-02-29,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-02,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-03,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-06,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-07,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-10,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-11,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-14,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-18,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-19,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-21,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-03-27,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-03-30,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-04-02,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-04-04,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-04-06,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-04-07,3.754364448671581e-05,0.0,3.0,0.0,3.0
2020-04-11,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-04-12,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-04-13,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-04-14,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-04-16,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-04-30,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-05-11,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-05-13,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-05-15,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-05-16,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-05-17,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-05-20,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-05-23,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-06-01,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-06-02,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-06-03,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-06-04,5.005819264895441e-05,0.0,4.0,0.0,4.0
2020-06-05,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-06-07,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-06-08,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-06-09,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-06-16,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-06-17,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-06-19,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-06-23,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-06-24,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-06-25,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-06-26,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-06-28,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-06-29,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-01,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-02,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-04,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-07,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-10,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-16,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-17,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-20,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-21,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-23,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-24,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-27,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-30,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-07-31,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-01,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-02,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-03,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-04,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-08,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-10,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-13,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-15,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-17,3.754364448671581e-05,0.0,3.0,0.0,3.0
2020-08-20,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-21,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-22,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-23,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-24,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-27,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-08-28,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-08-31,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-09-05,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-09-08,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-09-09,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-09-11,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-09-14,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-09-15,5.005819264895441e-05,0.0,4.0,0.0,4.0
2020-09-16,3.754364448671581e-05,0.0,3.0,0.0,3.0
2020-09-17,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-09-19,3.754364448671581e-05,0.0,3.0,0.0,3.0
2020-09-20,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-09-21,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-09-23,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-09-24,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-10-07,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-10-10,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-10-16,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-10-22,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-10-24,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-10-25,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-10-27,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-10-29,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-10-30,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2020-11-03,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-11-04,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-11-06,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-11-08,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-11-16,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-11-22,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-11-28,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-12-02,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-12-04,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-12-05,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-12-11,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-12-21,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-12-24,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2020-12-30,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-01-03,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-01-10,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-01-25,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-01-31,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-02-05,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-02-06,0.00011263093346014742,0.0,9.0,0.0,9.0
2021-02-09,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-02-12,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-02-13,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-02-14,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-02-15,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-02-18,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-02-19,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-02-22,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-02-25,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-02-26,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-02-27,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-03-01,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-03-03,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-03-04,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-03-05,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-03-12,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-03-14,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-03-15,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-03-16,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-03-17,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-03-18,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-03-19,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-03-20,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-03-21,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-03-22,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-03-23,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-03-24,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-03-25,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-03-26,0.00013766002978462462,0.0,11.0,0.0,11.0
2021-03-27,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-03-28,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-03-29,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-04-01,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-04-02,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-04-03,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-04-04,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-04-05,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-04-07,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-04-08,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-04-09,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-04-10,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-04-11,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-04-13,8.760183713567022e-05,0.0,7.0,0.0,7.0
2021-04-14,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-04-15,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-04-16,8.760183713567022e-05,0.0,7.0,0.0,7.0
2021-04-17,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-04-18,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-04-19,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-04-20,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-04-21,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-04-22,0.00012514548162238602,0.0,10.0,0.0,10.0
2021-04-23,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-04-24,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-04-25,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-04-26,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-04-27,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-04-28,8.760183713567022e-05,0.0,7.0,0.0,7.0
2021-04-29,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-04-30,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-05-01,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-05-02,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-03,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-05-04,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-05-05,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-05-06,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-05-07,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-05-08,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-05-11,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-05-14,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-15,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-16,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-05-17,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-05-18,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-05-19,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-05-20,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-21,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-05-22,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-24,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-05-25,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-26,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-29,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-05-30,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-05-31,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-06-01,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-06-02,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-06-04,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-06-05,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-06-06,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-06-07,0.00010011638529790881,0.0,8.0,0.0,8.0
2021-06-08,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-06-09,6.257274081119301e-05,0.0,5.0,0.0,5.0
